	Pearson	Spearman	Kendall	Mutual_Info
Kaon PID NN score for pion hypothesis	-0.06724333651630554	-0.04923053875717921	-0.032424953195555876	0.01897631615865425
Isolation: Neutral cone asymmetry between cone momentum and B momentum	-0.0051788815271656555	-0.013420758596845416	-0.009244820741592361	0.017937723383080417
Isolation: Neutral cone momentum sum y component	0.0010753666920596359	0.006544725916596062	0.004449736439678475	0.01776215531387937
Kaon PID NN score for electron hypothesis	0.034932136717994056	-0.06601726141870833	-0.04412524708604255	0.01769979862531912
B 4-momentum z component	-0.029303424968929407	-0.03459175070265342	-0.022664714630761362	0.017688914252642185
dimuon-system 4-momentum x component	0.010225276230157574	0.029999338300643216	0.019588615511874727	0.017656807558805276
Isolation: Neutral cone asymmetry between cone momentum and B momentum z component	-0.005154941216584692	-0.013419128705889892	-0.00924415163623946	0.017271325791887726
Isolation: ML output of best fitting extra track	-0.016957740832465006	-0.01942343727090893	-0.012698212307054384	0.016892364074169386
B impact parameter chi2 wrt primary vertex	-0.03847224910251092	-0.024522540577653136	-0.016487834224408634	0.01657735375496827
Isolation: Neutral cone asymmetry between cone momentum and B momentum y component	0.020671174876854482	-0.00919655856709221	-0.006132613308563609	0.01653670770703286
Same-sign muon PID NN score for pion hypothesis	-0.04406034478061254	-0.023460643760999423	-0.015680913422853653	0.016391574219266403
Isolation: Neutral cone asymmetry between cone momentum and B momentum x component	0.0005439516034805645	-0.006958503014255782	-0.005010282966849661	0.016313807960904203
Same-sign muon PID NN score for ghost-track hypothesis	-0.13072187230550564	-0.03736190573942997	-0.024769105332030285	0.016233128478161163
B magnitude of momentum	-0.02930566362278661	-0.03456109318903248	-0.022639851456297842	0.016201434412838722
Isolation: Charged cone asymmetry between cone momentum and B momentum x component	0.009531229999618779	-0.003906381686251703	-0.002571796270141646	0.015836551066776394
B 4-momentum energy component	-0.029240698368143265	-0.034512409494540826	-0.022608208281538117	0.015303045298516338
Opposite-sign muon 4-momentum y component	-0.001321129923734619	0.004664546160016838	0.0032197051258237705	0.014750682574768526
Isolation: Charged cone 4-momentum of max-PT object x component	0.02532264307629147	0.027723629279134056	0.018615792744381174	0.01450067109517228
Opposite-sign muon PID NN score for ghost-track hypothesis	-0.0960751444704555	-0.025825455302966226	-0.01721620764643815	0.01415660743820002
Isolation: Charged cone asymmetry between cone momentum and B momentum transverse component	-0.014513113905684345	-0.00927627094386264	-0.006155171216710441	0.013313948114805463
Isolation: Neutral cone 4-momentum of max-PT object y component	0.0039056929999635934	0.007745178739340957	0.005155073647532062	0.013174572565167963
Isolation: Charged cone asymmetry between cone momentum and B momentum y component	0.011359153641694049	-0.004969661388164785	-0.0031608702506652443	0.012993284095542457
Number of reconstructed tracks in event	-0.031813524398635336	-0.024338571737164087	-0.016431487544430884	0.012501793186855181
Isolation: Neutral cone ratio of B momentum and B+cone momentum all in transverse plane	-0.008014191453629294	-0.012246458747243345	-0.008362064582949745	0.012359145307240915
